 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z419111-0151;Sub. Mantenimiento correctivo de poste tipo mástil (T1)(Incluye limpieza, corrección, anticorrosivo, pintura);UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0150;Sub. Sum e Inst de anclaje para poste (Incluye, corte, excavación, anclaje, curva de 2 Pulg, conexión a caja, concreto 3000 PSI);UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0149;Sub. Sum e Inst semáforo vehicular para fijación mástil S1;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0148;Sub. Sum e Inst semáforo vehicular para fijación ménsula S2;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0147;Sub. Sum e Inst semáforo peatonal S3 panel LED dinámico;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0146;Sub. Sum e Inst de pedestal para controlador C-900;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0145;Sub. Sum e Inst de cable para acometida eléctrica AWG 2 X 6 ML;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0144;Sub. Sum e Inst de cable eléctrico THHN 3 X 16 AWG ML;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0143;Sub. Construcción de caja de paso sencilla (incluye marco y tapa);UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/17/2021 12:30 PM
;false;Z419111-0142;Sub. Construccion Via 2;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;11/27/2020 03:00 PM
;false;Z419111-0141;Sub. Construccion Via 1;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;11/27/2020 03:00 PM
;false;Z419111-0140;Sub. Riego de cal;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z419111-0139;Sub. Pavimento con recebo y rodadura;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;;Activo;edison espinosa;02/07/2020 05:50 AM
;false;Z419111-0138;Sub. Gavion Caja 2x1x1 CD/Malla Tipo 8x10/2.7 mm/ Zinc + PVC;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0137;Sub. bandas sonoras en agregado y termoplástico;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z419111-0136;Sub. HITOS plásticos;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
